"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/02/2024","AirNow","060650009","1","0.061","ppm","71","Pechanga","19","79.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/03/2024","AirNow","060650009","1","0.059","ppm","64","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/05/2024","AirNow","060650009","1","0.029","ppm","27","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/06/2024","AirNow","060650009","1","0.045","ppm","42","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/07/2024","AirNow","060650009","1","0.042","ppm","39","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/08/2024","AirNow","060650009","1","0.035","ppm","32","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/10/2024","AirNow","060650009","1","0.038","ppm","35","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/11/2024","AirNow","060650009","1","0.044","ppm","41","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/12/2024","AirNow","060650009","1","0.044","ppm","41","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/13/2024","AirNow","060650009","1","0.048","ppm","44","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/14/2024","AirNow","060650009","1","0.045","ppm","42","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/15/2024","AirNow","060650009","1","0.041","ppm","38","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/16/2024","AirNow","060650009","1","0.051","ppm","47","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/17/2024","AirNow","060650009","1","0.048","ppm","44","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/18/2024","AirNow","060650009","1","0.038","ppm","35","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/19/2024","AirNow","060650009","1","0.039","ppm","36","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/20/2024","AirNow","060650009","1","0.03","ppm","28","Pechanga","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
