"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AirNow","060710001","1","0.031","ppm","29","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/02/2025","AirNow","060710001","1","0.034","ppm","31","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/03/2025","AirNow","060710001","1","0.036","ppm","33","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/04/2025","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/05/2025","AirNow","060710001","1","0.028","ppm","26","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/06/2025","AirNow","060710001","1","0.021","ppm","19","Barstow","18","75.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/07/2025","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/08/2025","AirNow","060710001","1","0.043","ppm","40","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/09/2025","AirNow","060710001","1","0.045","ppm","42","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/13/2025","AirNow","060710001","1","0.038","ppm","35","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/14/2025","AirNow","060710001","1","0.034","ppm","31","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/15/2025","AirNow","060710001","1","0.04","ppm","37","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/16/2025","AirNow","060710001","1","0.032","ppm","30","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/17/2025","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/18/2025","AirNow","060710001","1","0.039","ppm","36","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/19/2025","AirNow","060710001","1","0.037","ppm","34","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/20/2025","AirNow","060710001","1","0.046","ppm","43","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/21/2025","AirNow","060710001","1","0.038","ppm","35","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/22/2025","AirNow","060710001","1","0.025","ppm","23","Barstow","24","100.0000","44201","Ozone","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
