"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AirNow","060370016","3","11.3","ug/m3 LC","55","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/02/2025","AirNow","060370016","3","5.3","ug/m3 LC","29","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/03/2025","AirNow","060370016","3","15.3","ug/m3 LC","63","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/04/2025","AirNow","060370016","3","26.8","ug/m3 LC","84","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/05/2025","AirNow","060370016","3","3.1","ug/m3 LC","17","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/06/2025","AirNow","060370016","3","5.5","ug/m3 LC","31","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/07/2025","AirNow","060370016","3","4.6","ug/m3 LC","26","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/10/2025","AirNow","060370016","3","29.9","ug/m3 LC","90","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/11/2025","AirNow","060370016","3","19.7","ug/m3 LC","71","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/12/2025","AirNow","060370016","3","1.1","ug/m3 LC","6","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/13/2025","AirNow","060370016","3","0","ug/m3 LC","0","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/14/2025","AirNow","060370016","3","3.6","ug/m3 LC","20","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/15/2025","AirNow","060370016","3","2.4","ug/m3 LC","13","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/16/2025","AirNow","060370016","3","4.2","ug/m3 LC","23","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/17/2025","AirNow","060370016","3","8.3","ug/m3 LC","46","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/18/2025","AirNow","060370016","3","12.3","ug/m3 LC","57","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/19/2025","AirNow","060370016","3","15.9","ug/m3 LC","64","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/20/2025","AirNow","060370016","3","7.7","ug/m3 LC","43","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
