"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AirNow","060710005","3","12.2","ug/m3 LC","57","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/02/2025","AirNow","060710005","3","7","ug/m3 LC","39","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/03/2025","AirNow","060710005","3","2.8","ug/m3 LC","16","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/04/2025","AirNow","060710005","3","3.6","ug/m3 LC","20","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/05/2025","AirNow","060710005","3","2.4","ug/m3 LC","13","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/06/2025","AirNow","060710005","3","3.1","ug/m3 LC","17","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/07/2025","AirNow","060710005","3","1.6","ug/m3 LC","9","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/08/2025","AirNow","060710005","3","2.2","ug/m3 LC","12","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/11/2025","AirNow","060710005","3","5.4","ug/m3 LC","30","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/12/2025","AirNow","060710005","3","0.2","ug/m3 LC","1","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/13/2025","AirNow","060710005","3","0.8","ug/m3 LC","4","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/14/2025","AirNow","060710005","3","0.8","ug/m3 LC","4","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/17/2025","AirNow","060710005","3","14.9","ug/m3 LC","62","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/18/2025","AirNow","060710005","3","13.6","ug/m3 LC","59","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/19/2025","AirNow","060710005","3","11.1","ug/m3 LC","55","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/20/2025","AirNow","060710005","3","3.5","ug/m3 LC","19","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/21/2025","AirNow","060710005","3","1.8","ug/m3 LC","10","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/22/2025","AirNow","060710005","3","1.4","ug/m3 LC","8","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/23/2025","AirNow","060710005","3","1.7","ug/m3 LC","9","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
